                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.44556,                0.42469,                0.86479,                 0.4765,                0.14167,                0.19704,                0.08029,                 2.4126,                 3.2208,                  2.138,               0.000208,               0.000208,               0.000208
                     82,                0.43595,                0.39591,                0.88404,                0.93234,                0.13959,                0.18846,                0.08321,                  2.444,                 3.3619,                  2.167,              0.0001981,              0.0001981,              0.0001981
                     83,                0.42153,                 0.3715,                 0.8734,                0.92559,                0.13338,                0.17674,                0.07299,                 2.4693,                 3.4829,                 2.1996,              0.0001882,              0.0001882,              0.0001882
                     84,                0.42017,                0.37609,                0.86545,                0.73442,                0.13072,                0.19745,                0.07981,                  2.428,                 3.6819,                 2.2211,              0.0001783,              0.0001783,              0.0001783
                     85,                0.46337,                 0.4031,                0.87721,                0.74185,                0.10178,                0.17967,                0.07145,                 2.4668,                 4.0813,                 2.2745,              0.0001684,              0.0001684,              0.0001684
                     86,                0.43815,                0.39716,                0.88498,                0.65345,                0.10417,                0.16962,                0.06177,                 2.4964,                 4.3427,                 2.2978,              0.0001585,              0.0001585,              0.0001585
                     87,                0.45255,                0.42936,                0.88026,                0.76858,                0.09012,                0.18312,                0.07359,                 2.4417,                 4.3284,                 2.2562,              0.0001486,              0.0001486,              0.0001486
                     88,                0.39436,                0.38165,                0.86401,                0.56291,                0.08629,                0.17689,                 0.0712,                 2.4461,                 4.1996,                 2.2787,              0.0001387,              0.0001387,              0.0001387
                     89,                0.40829,                0.36329,                 0.8673,                0.34802,                0.14167,                0.18277,                 0.0764,                 2.4285,                 3.9211,                 2.2413,              0.0001288,              0.0001288,              0.0001288
                     90,                0.40655,                0.37969,                0.87448,                0.38191,                0.15638,                0.19137,                0.08344,                 2.4256,                 3.8043,                  2.204,              0.0001189,              0.0001189,              0.0001189
                     91,                0.45868,                 0.5001,                0.87931,                0.40876,                0.15417,                0.21325,                0.09574,                  2.267,                 3.3912,                 2.0771,               0.000109,               0.000109,               0.000109
                     92,                0.40791,                0.36917,                0.85314,                0.37358,                0.17917,                0.21196,                0.09539,                 2.1866,                 3.3282,                 1.9985,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.42511,                0.36797,                 0.8298,                0.40517,                0.15049,                0.19454,                0.09289,                 2.1561,                 3.5196,                 1.9789,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 0.4006,                0.35824,                0.86062,                0.38979,                0.15102,                0.19014,                0.07451,                 2.1413,                  3.582,                 1.9816,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.40544,                0.39293,                0.84834,                0.40293,                 0.1349,                0.18826,                0.07769,                 2.1842,                  3.639,                 2.0252,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.38838,                0.33381,                0.83624,                0.38715,                0.14239,                0.18685,                0.07468,                 2.2505,                 3.7772,                 2.0912,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.38137,                0.34178,                0.81902,                0.37744,                0.14167,                0.18459,                0.07971,                 2.2895,                 3.8729,                 2.1111,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.41186,                0.37501,                0.85989,                0.40324,                0.14158,                0.18267,                 0.0805,                 2.3249,                  3.935,                  2.114,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.37328,                0.32512,                0.82448,                0.40572,                0.14134,                0.18258,                0.08178,                 2.3259,                  3.954,                 2.0779,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.38964,                0.31798,                0.85109,                0.37554,                 0.1484,                0.19657,                0.08207,                 2.3154,                 3.9684,                 2.0616,               1.99e-05,               1.99e-05,               1.99e-05
